,grade,seq_4_avg,quiz_avg,seq_0_avg,seq_1_avg,seq_2_avg,seq_3_avg,duracion_sesion_avg,duracion_sesion_std,duracion_EOL,num_sesiones_agosto,num_sesiones_septiembre,num_sesiones_noviembre,page_close_mean,page_close_std,problem_graded_mean,problem_graded_std,problem_check_mean,problem_check_std,problem_show_mean,problem_show_std,seg_prev_mean,seg_prev_std,seg_next_mean,seg_next_std,seg_goto_mean,seg_goto_std,load_video_mean,load_video_std,play_video_mean,play_video_std,pause_video_mean,pause_video_std,speed_change_video_mean,speed_change_video_std,num_eventos_seq_0,num_eventos_seq_1,num_eventos_seq_2,num_eventos_seq_3,num_eventos_seq_4,label
240523,0.88,1.0,0.853448275862069,1.0,0.7045454545454546,0.7777777777777778,1.0,1.0846187122039646,0.7948319630406275,56.0,3.0,2.0,2.0,0.0,0.0,4.0,3.2659863237109037,4.0,3.2659863237109037,0.42857142857142855,0.7867957924694432,0.0,0.0,0.0,0.0,0.0,0.0,4.142857142857143,1.5735915849388862,7.285714285714286,5.498917642417937,6.0,4.509249752822894,1.4285714285714286,2.1491969707422394,62.0,120.0,59.0,13.0,6.0,1
240949,0.98,1.0,0.9482758620689656,1.0,0.9545454545454546,1.0,1.0,3.605903719734023,5.102393770834774,53.0,8.0,2.0,2.0,0.0,0.0,2.5,2.7136021011998723,2.5,2.7136021011998723,0.25,0.8660254037844386,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.696889103233926,15.916666666666666,20.698960594604014,10.583333333333334,13.95745700550806,0.5,0.7977240352174656,96.0,402.0,120.0,26.0,1.0,1
241867,0.95,1.0,0.9196551724137932,1.0,0.9090909090909091,0.9633333333333334,1.0,2.6206655287092353,6.434966166002022,58.0,5.0,5.0,2.0,0.0,0.0,2.4166666666666665,2.574643252722186,2.4166666666666665,2.574643252722186,0.08333333333333333,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,4.185110693297313,8.833333333333334,11.629377637794045,5.083333333333333,6.707639245101383,0.75,1.2154310870109943,30.0,217.0,151.0,27.0,5.0,1
242637,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,6.122081547476128,5.304598931487516,57.0,8.0,5.0,2.0,0.0,0.0,1.9333333333333333,2.374467358818655,1.9333333333333333,2.374467358818655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.266666666666667,6.808258290662962,14.733333333333333,17.502924925634026,9.133333333333333,10.979634827824691,0.2,0.560611910581388,161.0,381.0,174.0,18.0,5.0,0
243789,0.83,1.0,0.7444827586206898,0.5,0.5681818181818182,0.4822222222222222,1.0,4.09618293354905,4.210718169058646,53.0,6.0,4.0,2.0,3.4166666666666665,5.107184482014854,2.5,3.205109557055308,2.5,3.205109557055308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.083333333333333,4.187825066532601,6.333333333333333,8.835191342614266,5.25,7.200063131036359,0.16666666666666666,0.38924947208076144,69.0,195.0,112.0,23.0,19.0,0
244532,0.97,1.0,0.9396551724137931,1.0,0.9318181818181818,1.0,1.0,5.804118235983511,4.836289672763333,58.0,5.0,4.0,2.0,3.3636363636363638,2.5009089256799126,4.636363636363637,3.9565825474196106,4.636363636363637,3.9565825474196106,0.45454545454545453,1.2135597524338357,0.0,0.0,0.0,0.0,0.0,0.0,3.1818181818181817,2.227921983292136,25.545454545454547,22.22324745109785,11.454545454545455,10.661741287084736,0.8181818181818182,1.4709304414677002,123.0,497.0,198.0,18.0,7.0,0
245627,0.85,1.0,0.8162068965517242,0.875,0.8181818181818182,0.6855555555555556,1.0,7.383504720234346,8.488333354819902,58.0,7.0,8.0,4.0,0.0,0.0,1.5789473684210527,2.7551122073073175,1.5789473684210527,2.7551122073073175,0.5789473684210527,1.4649910683718714,0.0,0.0,0.0,0.0,0.0,0.0,8.368421052631579,8.328068512338188,17.57894736842105,35.09877457416694,8.894736842105264,17.39059367986072,0.3157894736842105,1.1572300058975775,192.0,658.0,277.0,39.0,14.0,1
247437,0.8,1.0,0.7762068965517241,0.5,0.6518181818181819,0.7044444444444444,1.0,5.279837121234292,7.063710678857637,55.0,9.0,4.0,1.0,0.0,0.0,2.4285714285714284,3.0813155460785726,2.4285714285714284,3.0813155460785726,0.21428571428571427,0.5789342235218394,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,4.258153136263201,16.428571428571427,23.040814240801495,11.214285714285714,16.11582390756924,0.6428571428571429,1.4468609447374663,82.0,377.0,208.0,23.0,2.0,1
248445,0.68,1.0,0.6551724137931034,0.0,0.45454545454545453,0.3333333333333333,0.3333333333333333,7.877049000384552,10.117459956390809,58.0,6.0,1.0,3.0,0.0,0.0,1.7,2.263232692902394,1.7,2.263232692902394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.4399612400917157,14.0,19.316084259267225,5.2,6.142746399887701,0.2,0.4216370213557839,37.0,242.0,71.0,78.0,0.0,1
249124,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,3.2406375714185662,5.506235732903733,58.0,7.0,5.0,4.0,0.0,0.0,1.75,2.1447610589527217,1.75,2.1447610589527217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,3.052321520853704,14.5,20.633306408167677,10.75,13.679668611970587,1.625,1.7841898254763515,112.0,402.0,213.0,37.0,14.0,1
250294,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.9350310443422098,0.7039225570552271,52.0,4.0,5.0,1.0,0.0,0.0,4.3,4.083843505544474,4.3,4.083843505544474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,5.216427044549853,30.1,37.70484790521712,22.4,28.51977871193565,0.3,0.6749485577105528,184.0,437.0,253.0,24.0,5.0,1
251552,0.86,1.0,0.8306896551724139,1.0,0.7954545454545454,0.8155555555555556,0.6666666666666666,12.928097524091106,10.400028697376616,56.0,5.0,7.0,3.0,0.0,0.0,1.8,2.4260491103261463,1.8,2.4260491103261463,0.3333333333333333,1.0465362369445672,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.355166591563354,32.666666666666664,48.94408860652948,23.2,34.52369786517247,1.4666666666666666,3.3565855667130946,117.0,752.0,353.0,23.0,8.0,1
